targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
1,1,31,0,0.008325,7.04225e-05
1,0,39,0,0.009245,0.000132836
1,0,39,0,0.0094525,0.000131041
0,0,39,0,0.00814,8.24465e-05
1,0,39,0,0.0078225,8.87468e-05
2,0,39,1,0.0093375,0.000122355
1,0,39,0,0.0082475,9.65758e-05
0,0,39,0,0.00773,7.80985e-05
0,0,39,0,0.007595,7.4517e-05
0,0,39,0,0.008655,0.000217236
1,0,39,0,0.00996,0.000155756
1,0,39,0,0.009135,0.000120023
0,0,39,0,0.0089125,0.000120654
2,0,39,1,0.0076925,7.07018e-05
1,0,39,0,0.0094275,0.000128226
1,0,39,0,0.007945,7.70905e-05
1,0,39,0,0.008245,9.6323e-05
2,0,39,1,0.008545,9.4502e-05
0,0,39,0,0.0078225,7.46423e-05
1,0,39,0,0.007815,7.3775e-05
0,0,39,0,0.0074325,5.73218e-05
2,0,39,1,0.00777,7.37415e-05
0,0,39,0,0.009385,0.000132467
0,0,39,0,0.007085,5.1703e-05
1,0,39,0,0.0078475,7.64652e-05
1,0,39,0,0.00906,0.000118709
2,0,39,1,0.00839,9.88945e-05
2,0,39,1,0.0071575,5.33148e-05
0,0,39,0,0.00817,8.23775e-05
2,0,39,1,0.0088375,0.000171172
1,0,39,0,0.0078875,7.67242e-05
1,0,39,0,0.0074275,6.94673e-05
1,0,39,0,0.007725,7.5035e-05
1,0,39,0,0.007595,7.2402e-05
1,0,39,0,0.00838,0.000100439
1,0,39,0,0.00772,7.4199e-05
1,0,39,0,0.0071375,5.27498e-05
1,0,39,0,0.0090275,0.000140242
1,0,39,0,0.0095575,0.000143018
1,0,39,0,0.00877,0.000115678
2,0,39,1,0.00793,8.10215e-05
2,0,39,1,0.0091275,0.000133777
0,0,39,0,0.0074275,6.93873e-05
0,0,39,0,0.0077425,7.54448e-05
0,0,39,0,0.006425,4.20185e-05
0,0,39,0,0.008385,9.6867e-05
2,0,39,1,0.0073125,5.70343e-05
1,0,39,0,0.00943,0.000138173
0,0,39,0,0.0075775,7.21413e-05
3,0,39,1,0.0069425,4.99993e-05
1,0,39,0,0.00772,7.37225e-05
1,0,39,0,0.007825,7.56805e-05
1,0,39,0,0.0081825,9.41853e-05
2,0,39,1,0.008915,0.000117237
0,0,39,0,0.0084025,9.90757e-05
2,0,39,1,0.011455,0.000234591
1,0,39,0,0.009195,0.000117605
0,1,37,0,0.00949474,0.000139327
0,0,39,0,0.0099675,0.000142746
3,0,39,1,0.0104725,0.000171141
2,0,39,1,0.008905,0.000102533
0,0,39,0,0.0097075,0.000140277
2,0,39,1,0.010245,0.000159823
1,0,39,0,0.0087525,0.000112407
0,0,39,0,0.0085125,0.000113096
2,0,39,1,0.0099975,0.000225269
1,0,39,0,0.0076775,8.40858e-05
1,0,39,0,0.01285,0.000253758
1,0,39,0,0.0162225,0.000373731
2,0,39,1,0.0107,0.00018638
1,0,39,0,0.010635,0.000181669
1,0,39,0,0.0098725,0.0001508
